county,total_population_of_one_race,total_population_of_one_race_white_alone,total_population_of_one_race_black_or_african_american_alone,total_population_of_one_race_american_indian_and_alaska_native_alone,total_population_of_one_race_asian_alone,total_population_of_one_race_native_hawaiian_and_other_pacific_islander_alone,total_population_of_one_race_some_other_race_alone,total_population_of_two_or_more_races
"Ventura County, California","698,662","428,677","15,330","14,573","64,923","1,723","173,436","145,181"
"Yolo County, California","182,292","107,304","6,164","3,366","30,392","1,179","33,887","34,111"
"Yuba County, California","69,802","46,590","3,052","1,754","5,774",405,"12,227","11,773"
"Adams County, Colorado","428,280","289,718","17,463","9,520","23,268",925,"87,386","91,292"
"Alamosa County, Colorado","13,470","10,069",251,709,180,19,"2,242","2,906"
"Arapahoe County, Colorado","572,238","396,027","70,787","6,820","42,472","1,777","54,355","82,832"
"Archuleta County, Colorado","11,761","10,749",41,240,105,6,620,"1,598"
"Baca County, Colorado","3,274","3,043",26,42,13,0,150,232
"Bent County, Colorado","5,163","3,831",256,162,52,0,862,487
"Boulder County, Colorado","297,757","255,983","3,393","2,509","16,450",274,"19,148","33,001"
"Broomfield County, Colorado","66,010","56,334",989,435,"5,146",89,"3,017","8,102"
"Chaffee County, Colorado","18,106","16,693",296,185,137,13,782,"1,370"
"Cheyenne County, Colorado","1,636","1,534",1,13,4,0,84,112
"Clear Creek County, Colorado","8,702","8,323",52,73,83,9,162,695
"Conejos County, Colorado","6,318","5,045",27,167,21,2,"1,056","1,143"
"Costilla County, Colorado","2,507","1,827",40,66,56,0,518,992
"Crowley County, Colorado","5,542","3,747",517,180,74,2,"1,022",380
"Custer County, Colorado","4,446","4,279",11,53,23,0,80,258
"Delta County, Colorado","28,569","26,117",145,294,243,9,"1,761","2,627"
"Denver County, Colorado","618,764","433,946","64,038","10,601","27,875","1,531","80,773","96,758"
"Dolores County, Colorado","2,125","2,021",18,42,6,4,34,201
"Douglas County, Colorado","324,079","289,005","5,160","1,820","20,064",345,"7,685","33,899"
"Eagle County, Colorado","47,813","39,594",340,497,727,47,"6,608","7,918"
"Elbert County, Colorado","23,900","22,817",123,182,187,22,569,"2,162"
"El Paso County, Colorado","636,888","516,911","43,822","7,519","22,471","3,091","43,074","93,507"
"Fremont County, Colorado","45,546","39,965","1,848",850,338,30,"2,515","3,393"
"Garfield County, Colorado","53,445","42,038",335,870,411,40,"9,751","8,240"
"Gilpin County, Colorado","5,348","5,077",38,59,94,4,76,460
"Grand County, Colorado","14,757","13,772",64,80,90,17,734,960
"Gunnison County, Colorado","15,744","14,652",88,203,122,7,672,"1,174"
"Hinsdale County, Colorado",730,706,8,6,3,1,6,58
"Huerfano County, Colorado","5,800","4,997",65,175,31,0,532,"1,020"
"Jackson County, Colorado","1,267","1,199",0,14,2,2,50,112
"Jefferson County, Colorado","519,938","460,764","7,356","6,039","18,157",536,"27,086","62,972"
"Kiowa County, Colorado","1,324","1,290",4,0,9,1,20,122
"Kit Carson County, Colorado","6,372","5,649",24,45,31,10,613,715
"Lake County, Colorado","6,323","4,996",38,157,67,8,"1,057","1,113"
"La Plata County, Colorado","50,626","44,366",205,"3,342",397,36,"2,280","5,012"
"Larimer County, Colorado","325,346","295,995","3,815","2,878","8,538",325,"13,795","33,720"
"Las Animas County, Colorado","12,351","10,035",211,367,116,19,"1,603","2,204"
"Lincoln County, Colorado","5,311","4,397",275,75,47,24,493,364
"Logan County, Colorado","20,026","17,261",765,231,128,23,"1,618","1,502"
"Mesa County, Colorado","140,549","127,970","1,151","1,723","1,676",208,"7,821","15,154"
"Mineral County, Colorado",801,789,3,6,3,0,0,64
"Moffat County, Colorado","11,949","10,872",77,155,54,2,789,"1,343"
"Montezuma County, Colorado","23,646","18,958",80,"3,342",143,28,"1,095","2,203"
"Montrose County, Colorado","38,397","33,395",181,577,338,36,"3,870","4,282"
"Morgan County, Colorado","25,153","19,184",975,404,157,11,"4,422","3,958"
"Otero County, Colorado","15,873","12,847",165,376,101,28,"2,356","2,817"
"Ouray County, Colorado","4,553","4,396",16,16,28,4,93,321
"Park County, Colorado","16,027","15,318",94,167,104,9,335,"1,363"
"Phillips County, Colorado","4,075","3,500",19,52,22,2,480,455
"Pitkin County, Colorado","16,119","14,797",106,76,290,14,836,"1,239"
"Prowers County, Colorado","10,468","8,131",109,275,31,6,"1,916","1,531"
"Pueblo County, Colorado","138,478","108,805","3,642","3,867","1,730",208,"20,226","29,684"
"Rio Blanco County, Colorado","6,079","5,699",34,58,22,2,264,450
"Rio Grande County, Colorado","9,825","8,093",61,288,42,9,"1,332","1,714"
"Routt County, Colorado","23,004","21,726",156,116,176,38,792,"1,825"
"Saguache County, Colorado","5,071","4,209",20,192,63,2,585,"1,297"
"San Juan County, Colorado",628,606,3,6,2,0,11,77
"San Miguel County, Colorado","7,487","6,922",21,92,55,2,395,585
"Sedgwick County, Colorado","2,220","2,062",5,19,12,1,121,184
"Summit County, Colorado","28,429","24,751",247,253,418,32,"2,728","2,626"
"Teller County, Colorado","22,505","21,566",135,182,212,12,398,"2,205"
"Washington County, Colorado","4,473","4,230",32,20,19,14,158,344
"Weld County, Colorado","283,696","231,892","4,539","4,274","5,857",365,"36,769","45,285"
"Yuma County, Colorado","8,937","7,437",22,73,34,6,"1,365","1,051"
"Fairfield County, Connecticut","854,584","584,184","106,756","4,369","51,341",347,"107,587","102,835"
"Hartford County, Connecticut","819,125","554,184","127,194","3,145","53,844",328,"80,430","80,373"
"Litchfield County, Connecticut","172,181","158,774","3,348",511,"3,486",67,"5,995","13,005"
"Middlesex County, Connecticut","152,898","134,715","8,565",392,"4,987",50,"4,189","11,347"
"New Haven County, Connecticut","782,472","543,831","118,933","4,058","37,520",470,"77,660","82,363"
"New London County, Connecticut","244,341","201,548","16,026","2,488","10,814",255,"13,210","24,214"
"Tolland County, Connecticut","140,567","122,869","5,450",272,"8,465",59,"3,452","9,221"
"Windham County, Connecticut","106,872","95,023","2,403",816,"1,998",22,"6,610","9,546"
"Kent County, Delaware","166,044","107,685","46,998","1,149","4,429",125,"5,658","15,807"
"New Castle County, Delaware","527,020","314,231","146,544","2,156","35,200",175,"28,714","43,699"
"Sussex County, Delaware","220,366","175,847","25,357","1,843","3,070",112,"14,137","17,012"
"District of Columbia, District of Columbia","633,468","273,194","285,810","3,193","33,545",432,"37,294","56,077"
"Alachua County, Florida","250,960","170,245","52,156",849,"18,076",112,"9,522","27,508"
"Baker County, Florida","27,154","22,565","3,847",122,157,14,449,"1,105"
"Bay County, Florida","159,888","131,304","17,856","1,033","4,138",208,"5,349","15,328"
"Bradford County, Florida","27,135","20,929","5,478",77,142,17,492,"1,168"
"Brevard County, Florida","545,794","448,180","58,692","2,293","15,913",544,"20,172","60,818"
"Broward County, Florida","1,559,585","776,174","531,910","7,442","75,922",901,"167,236","384,790"
"Calhoun County, Florida","12,802","10,741","1,682",111,46,0,222,846
"Charlotte County, Florida","173,903","157,543","9,268",517,"2,627",72,"3,876","12,944"
"Citrus County, Florida","144,110","134,596","4,122",568,"2,449",54,"2,321","9,733"
"Clay County, Florida","197,040","154,895","26,624",943,"6,804",385,"7,389","21,205"
"Collier County, Florida","320,816","257,007","23,349","2,050","5,571",92,"32,747","54,936"
"Columbia County, Florida","65,032","50,735","11,593",273,882,41,"1,508","4,666"
"DeSoto County, Florida","30,020","21,320","4,270",177,192,8,"4,053","3,956"
"Dixie County, Florida","15,971","14,057","1,571",61,64,4,214,788
"Duval County, Florida","906,087","514,782","292,337","3,712","49,467","1,079","44,710","89,480"
"Escambia County, Florida","296,278","206,982","68,978","2,355","10,039",437,"7,487","25,627"
"Flagler County, Florida","104,994","87,661","10,935",385,"2,512",65,"3,436","10,384"
"Franklin County, Florida","11,811","10,002","1,422",46,30,2,309,640
"Gadsden County, Florida","41,584","14,936","23,435",201,148,13,"2,851","2,242"
"Gilchrist County, Florida","16,704","15,170",801,73,64,6,590,"1,160"
"Glades County, Florida","10,802","8,241","1,469",201,35,1,855,"1,324"
