county,total_population_of_one_race,total_population_of_one_race_white_alone,total_population_of_one_race_black_or_african_american_alone,total_population_of_one_race_american_indian_and_alaska_native_alone,total_population_of_one_race_asian_alone,total_population_of_one_race_native_hawaiian_and_other_pacific_islander_alone,total_population_of_one_race_some_other_race_alone,total_population_of_two_or_more_races
"St. James Parish, Louisiana","19,713","9,973","9,523",34,31,5,147,479
"St. John the Baptist Parish, Louisiana","40,183","13,877","24,305",167,317,12,"1,505","2,294"
"St. Landry Parish, Louisiana","79,772","43,611","34,360",202,380,13,"1,206","2,768"
"St. Martin Parish, Louisiana","49,734","33,259","15,099",202,441,3,730,"2,033"
"St. Mary Parish, Louisiana","46,138","26,949","15,058","1,006",647,13,"2,465","3,268"
"St. Tammany Parish, Louisiana","242,196","196,641","34,356","1,184","3,898",105,"6,012","22,374"
"Tangipahoa Parish, Louisiana","125,921","81,336","40,039",533,"1,003",24,"2,986","7,236"
"Tensas Parish, Louisiana","4,020","1,744","2,250",0,6,1,19,127
"Terrebonne Parish, Louisiana","102,453","69,934","21,253","6,070","1,322",40,"3,834","7,127"
"Union Parish, Louisiana","20,308","14,460","4,995",77,38,10,728,799
"Vermilion Parish, Louisiana","54,848","44,477","7,931",195,"1,263",13,969,"2,511"
"Vernon Parish, Louisiana","44,667","35,087","6,491",566,888,301,"1,334","4,083"
"Washington Parish, Louisiana","43,664","29,943","12,858",143,164,0,556,"1,799"
"Webster Parish, Louisiana","35,547","22,735","12,185",149,138,12,328,"1,420"
"West Baton Rouge Parish, Louisiana","25,962","14,307","10,754",85,220,10,586,"1,237"
"West Carroll Parish, Louisiana","9,421","7,894","1,341",37,14,5,130,330
"West Feliciana Parish, Louisiana","14,859","10,883","3,618",99,30,5,224,451
"Winn Parish, Louisiana","13,261","8,594","3,525",77,173,20,872,494
"Androscoggin County, Maine","105,370","96,625","6,531",420,906,58,830,"5,769"
"Aroostook County, Maine","64,900","62,521",447,"1,221",396,21,294,"2,205"
"Cumberland County, Maine","287,623","264,408","12,120",831,"7,204",98,"2,962","15,446"
"Franklin County, Maine","28,195","27,356",174,73,386,24,182,"1,261"
"Hancock County, Maine","53,030","51,444",355,262,566,10,393,"2,448"
"Kennebec County, Maine","117,175","113,639",919,511,"1,227",29,850,"6,467"
"Knox County, Maine","38,683","37,713",272,154,250,18,276,"1,924"
"Lincoln County, Maine","33,869","33,215",165,105,234,9,141,"1,368"
"Oxford County, Maine","54,826","53,795",229,197,275,18,312,"2,951"
"Penobscot County, Maine","145,061","139,311","1,507","1,431","1,865",46,901,"7,138"
"Piscataquis County, Maine","15,992","15,572",61,113,120,7,119,808
"Sagadahoc County, Maine","34,924","34,046",314,113,258,4,189,"1,775"
"Somerset County, Maine","48,210","47,184",250,237,263,18,258,"2,267"
"Waldo County, Maine","37,844","37,097",148,153,207,12,227,"1,763"
"Washington County, Maine","29,783","27,789",162,"1,407",121,10,294,"1,312"
"York County, Maine","202,164","195,326","2,098",657,"2,520",61,"1,502","9,808"
"Allegany County, Maryland","65,087","58,377","5,341",137,742,22,468,"3,019"
"Anne Arundel County, Maryland","538,783","377,634","104,473","2,354","25,504",449,"28,369","49,478"
"Baltimore County, Maryland","800,914","452,124","255,793","3,527","54,968",304,"34,198","53,621"
"Calvert County, Maryland","85,298","69,935","12,100",305,"1,581",79,"1,298","7,485"
"Caroline County, Maryland","31,124","24,479","4,434",146,350,19,"1,696","2,169"
"Carroll County, Maryland","162,291","148,621","6,482",396,"3,775",43,"2,974","10,600"
"Cecil County, Maryland","96,256","84,806","7,803",294,"1,247",23,"2,083","7,469"
"Charles County, Maryland","153,276","58,587","82,035","1,236","5,706",168,"5,544","13,341"
"Dorchester County, Maryland","30,722","20,128","9,140",132,355,9,958,"1,809"
"Frederick County, Maryland","246,631","189,470","27,802","1,165","13,570",189,"14,435","25,086"
"Garrett County, Maryland","28,023","27,521",246,33,85,7,131,783
"Harford County, Maryland","242,425","190,128","37,706",712,"8,173",198,"5,508","18,499"
"Howard County, Maryland","305,197","159,329","65,275","1,190","66,288",134,"12,981","27,120"
"Kent County, Maryland","18,115","14,574","2,808",41,251,0,441,"1,083"
"Montgomery County, Maryland","942,799","457,783","197,077","7,036","163,507",610,"116,786","119,262"
"Prince George's County, Maryland","894,607","124,863","578,703","8,935","41,875",546,"139,685","72,594"
"Queen Anne's County, Maryland","47,134","42,290","2,811",156,589,19,"1,269","2,740"
"St. Mary's County, Maryland","104,415","81,952","16,294",438,"3,362",90,"2,279","9,362"
"Somerset County, Maryland","23,626","13,076","9,505",115,254,1,675,994
"Talbot County, Maryland","35,287","28,436","4,249",146,538,12,"1,906","2,239"
"Washington County, Maryland","143,424","117,465","17,691",465,"3,109",89,"4,605","11,281"
"Wicomico County, Maryland","96,813","61,425","27,990",438,"3,152",42,"3,766","6,775"
"Worcester County, Maryland","49,818","41,845","6,236",136,753,8,840,"2,642"
"Baltimore city, Maryland","553,258","163,026","338,478","2,312","21,210",186,"28,046","32,450"
"Barnstable County, Massachusetts","213,114","196,459","6,603","1,224","3,223",81,"5,524","15,882"
"Berkshire County, Massachusetts","120,699","110,862","4,296",287,"2,019",24,"3,211","8,327"
"Bristol County, Massachusetts","528,518","455,763","25,668","2,443","13,779",171,"30,694","50,682"
"Dukes County, Massachusetts","18,373","16,321",813,214,185,10,830,"2,227"
"Essex County, Massachusetts","734,597","558,325","33,524","4,076","29,819",285,"108,568","75,232"
"Franklin County, Massachusetts","66,227","62,398","1,075",195,"1,198",11,"1,350","4,802"
"Hampden County, Massachusetts","417,894","302,357","41,556","2,338","12,344",286,"59,013","47,931"
"Hampshire County, Massachusetts","150,362","130,161","4,706",426,"10,796",58,"4,215","11,946"
"Middlesex County, Massachusetts","1,497,263","1,112,445","84,670","3,676","210,462",444,"85,566","134,739"
"Nantucket County, Massachusetts","12,868","10,159","1,027",87,264,5,"1,326","1,387"
"Norfolk County, Massachusetts","679,397","519,522","51,371","1,257","88,512",166,"18,569","46,584"
"Plymouth County, Massachusetts","485,721","411,558","45,132","1,218","7,772",101,"19,940","45,098"
"Suffolk County, Massachusetts","708,969","375,467","145,566","3,865","81,140",409,"102,522","88,967"
"Worcester County, Massachusetts","787,048","634,240","48,022","2,712","46,421",250,"55,403","75,063"
"Alcona County, Michigan","9,785","9,644",23,61,14,1,42,382
"Alger County, Michigan","8,351","7,363",587,328,26,1,46,491
"Allegan County, Michigan","112,970","105,564","1,584",799,874,22,"4,127","7,532"
"Alpena County, Michigan","27,656","27,177",99,122,119,12,127,"1,251"
"Antrim County, Michigan","22,372","21,902",39,201,72,20,138,"1,059"
"Arenac County, Michigan","14,298","14,017",35,130,38,1,77,704
"Baraga County, Michigan","7,528","5,772",604,"1,097",16,3,36,630
"Barry County, Michigan","59,083","57,488",313,261,247,15,759,"3,340"
"Bay County, Michigan","97,365","93,305","1,705",463,538,5,"1,349","6,491"
"Benzie County, Michigan","17,170","16,726",67,177,71,1,128,800
"Berrien County, Michigan","143,571","113,608","21,420",943,"3,189",120,"4,291","10,745"
"Branch County, Michigan","42,407","39,595","1,156",192,270,10,"1,184","2,455"
"Calhoun County, Michigan","124,722","102,712","14,513",879,"3,742",35,"2,841","9,588"
"Cass County, Michigan","48,180","44,005","2,321",597,319,11,927,"3,409"
"Charlevoix County, Michigan","24,812","24,052",78,384,124,10,164,"1,242"
"Cheboygan County, Michigan","24,020","23,016",96,715,91,6,96,"1,559"
"Chippewa County, Michigan","33,501","24,803","2,625","5,669",194,12,198,"3,284"
"Clare County, Michigan","29,514","28,880",150,211,72,0,201,"1,342"
"Clinton County, Michigan","74,333","69,204","1,715",313,"1,877",25,"1,199","4,795"
"Crawford County, Michigan","12,412","12,140",57,89,55,4,67,576
"Delta County, Michigan","34,941","33,684",93,849,156,8,151,"1,962"
"Dickinson County, Michigan","24,849","24,379",65,127,147,7,124,"1,098"
"Eaton County, Michigan","101,806","89,292","7,688",451,"2,478",18,"1,879","7,369"
"Emmet County, Michigan","32,255","30,578",163,"1,123",176,22,193,"1,857"
"Genesee County, Michigan","379,933","289,255","79,914","1,745","4,088",122,"4,809","26,278"
"Gladwin County, Michigan","24,433","24,049",70,101,82,1,130,953
"Gogebic County, Michigan","13,759","13,052",79,523,35,3,67,621
"Grand Traverse County, Michigan","89,989","86,508",595,969,824,52,"1,041","5,249"
"Gratiot County, Michigan","39,792","36,008","2,238",198,164,31,"1,153","1,969"
"Hillsdale County, Michigan","43,525","42,658",206,168,177,6,310,"2,221"
"Houghton County, Michigan","35,707","34,107",286,165,857,22,270,"1,654"
"Huron County, Michigan","30,429","29,807",83,101,152,6,280,978
"Ingham County, Michigan","260,678","198,552","35,580","1,535","16,522",124,"8,365","24,222"
"Ionia County, Michigan","63,779","58,946","3,229",303,232,23,"1,046","3,025"
"Iosco County, Michigan","24,140","23,459",171,137,169,7,197,"1,097"
"Iron County, Michigan","11,144","10,930",24,93,42,0,55,487
"Isabella County, Michigan","60,454","54,159","2,134","2,282","1,117",20,742,"3,940"
"Jackson County, Michigan","149,954","133,257","12,632",656,"1,493",30,"1,886","10,412"
"Kalamazoo County, Michigan","242,154","197,010","30,352","1,275","7,042",76,"6,399","19,516"
"Kalkaska County, Michigan","17,046","16,671",40,151,60,3,121,893
"Kent County, Michigan","607,977","480,003","64,499","4,013","21,980",214,"37,268","49,997"
"Keweenaw County, Michigan","1,974","1,954",5,1,0,0,14,72
"Lake County, Michigan","11,382","10,295",891,85,45,8,58,714
"Lapeer County, Michigan","83,494","80,249",984,361,408,8,"1,484","5,125"
"Leelanau County, Michigan","21,201","20,039",67,672,110,7,306,"1,100"
"Lenawee County, Michigan","92,405","86,549","2,614",504,497,17,"2,224","7,018"
"Livingston County, Michigan","183,379","178,408","1,144",620,"1,658",114,"1,435","10,487"
"Luce County, Michigan","4,931","4,533",12,367,2,1,16,408
"Mackinac County, Michigan","9,932","8,080",61,"1,699",28,2,62,902
"Macomb County, Michigan","831,440","672,264","109,476","2,225","38,421",229,"8,825","49,777"
"Manistee County, Michigan","23,591","22,153",614,528,82,2,212,"1,441"
"Marquette County, Michigan","62,210","59,551",805,"1,062",406,27,359,"3,807"
"Mason County, Michigan","27,442","26,456",181,245,157,9,394,"1,610"
"Mecosta County, Michigan","37,575","35,916",794,225,320,17,303,"2,139"
"Menominee County, Michigan","22,595","21,499",107,749,98,5,137,907
"Midland County, Michigan","78,684","74,791",963,343,"1,730",88,769,"4,810"
"Missaukee County, Michigan","14,436","14,086",33,71,46,1,199,616
"Monroe County, Michigan","145,147","137,561","4,138",544,959,24,"1,921","9,662"
"Montcalm County, Michigan","63,469","60,106","2,152",243,227,24,717,"3,145"
"Montmorency County, Michigan","8,777","8,619",18,68,24,0,48,376
"Muskegon County, Michigan","163,543","133,720","23,908","1,380","1,103",40,"3,392","12,281"
"Newaygo County, Michigan","46,926","44,822",434,336,198,15,"1,121","3,052"
"Oakland County, Michigan","1,196,217","893,318","170,753","3,356","105,974",337,"22,479","78,178"
"Oceana County, Michigan","24,469","22,260",133,316,69,4,"1,687","2,190"
"Ogemaw County, Michigan","19,878","19,509",63,123,57,8,118,892
"Ontonagon County, Michigan","5,576","5,473",8,62,21,2,10,240
"Osceola County, Michigan","21,884","21,414",165,150,34,6,115,"1,007"
"Oscoda County, Michigan","7,827","7,741",8,38,12,0,28,392
"Otsego County, Michigan","23,812","23,320",101,169,91,2,129,"1,279"
"Ottawa County, Michigan","275,858","248,796","5,462","1,442","8,088",109,"11,961","20,342"
"Presque Isle County, Michigan","12,537","12,342",35,68,52,1,39,445
"Roscommon County, Michigan","22,435","22,067",65,105,78,10,110,"1,024"
"Saginaw County, Michigan","177,432","133,915","34,615",818,"2,420",85,"5,579","12,692"
"St. Clair County, Michigan","151,438","144,476","3,937",701,826,16,"1,482","8,945"
"St. Joseph County, Michigan","56,795","51,530","1,367",277,414,9,"3,198","4,144"
"Sanilac County, Michigan","38,727","37,883",168,141,84,2,449,"1,884"
"Schoolcraft County, Michigan","7,494","6,756",10,703,15,1,9,553
"Shiawassee County, Michigan","64,538","63,132",325,263,297,22,499,"3,556"
"Tuscola County, Michigan","50,650","49,413",413,200,157,15,452,"2,673"
"Van Buren County, Michigan","69,415","61,345","2,428",819,386,40,"4,397","6,172"
"Washtenaw County, Michigan","342,959","257,688","42,819","1,190","33,632",201,"7,429","29,299"
"Wayne County, Michigan","1,682,836","882,484","674,782","7,218","64,947",433,"52,972","110,725"
"Wexford County, Michigan","31,912","31,124",193,178,186,1,230,"1,761"
"Aitkin County, Minnesota","15,098","14,538",62,395,38,1,64,599
"Anoka County, Minnesota","340,318","280,171","28,657","2,531","19,257",105,"9,597","23,569"
"Becker County, Minnesota","32,862","29,818",203,"2,468",162,22,189,"2,321"
"Beltrami County, Minnesota","43,325","32,794",543,"9,418",280,18,272,"2,903"
"Benton County, Minnesota","39,369","36,145","2,022",232,466,9,495,"2,010"
"Big Stone County, Minnesota","5,008","4,832",29,49,17,4,77,158
"Blue Earth County, Minnesota","65,589","58,205","3,970",292,"1,841",33,"1,248","3,523"
"Brown County, Minnesota","25,034","24,321",128,51,127,6,401,878
"Carlton County, Minnesota","34,260","31,151",562,"2,217",153,12,165,"1,947"
"Carver County, Minnesota","101,091","92,448","2,208",291,"3,641",18,"2,485","5,831"
"Cass County, Minnesota","28,654","24,801",73,"3,512",111,0,157,"1,412"
"Chippewa County, Minnesota","11,980","10,653",75,131,49,296,776,618
"Chisago County, Minnesota","53,850","51,394",853,339,776,6,482,"2,771"
"Clay County, Minnesota","61,458","55,451","3,190","1,147",781,20,869,"3,860"
"Clearwater County, Minnesota","8,036","7,197",23,757,23,2,34,488
"Cook County, Minnesota","5,269","4,686",25,458,49,1,50,331
"Cottonwood County, Minnesota","10,942","9,617",143,51,369,80,682,575
"Crow Wing County, Minnesota","63,411","61,586",419,663,332,19,392,"2,712"
"Dakota County, Minnesota","407,963","330,482","32,740","2,392","24,118",222,"18,009","31,919"
"Dodge County, Minnesota","19,888","19,088",134,67,110,1,488,979
"Douglas County, Minnesota","37,775","36,887",235,129,228,11,285,"1,231"
"Faribault County, Minnesota","13,327","12,736",60,82,46,1,402,594
"Fillmore County, Minnesota","20,629","20,278",101,16,71,2,161,599
"Freeborn County, Minnesota","29,038","25,988",486,136,"1,148",5,"1,275","1,857"
"Goodhue County, Minnesota","45,432","42,850",685,614,348,33,902,"2,150"
"Grant County, Minnesota","5,843","5,721",13,31,20,8,50,231
"Hennepin County, Minnesota","1,190,934","855,122","171,511","11,938","97,864",459,"54,040","90,631"
"Houston County, Minnesota","18,253","17,900",98,54,101,4,96,590
"Hubbard County, Minnesota","20,244","19,265",93,581,66,13,226,"1,100"
"Isanti County, Minnesota","39,267","37,888",318,213,489,13,346,"1,868"
"Itasca County, Minnesota","42,463","40,371",178,"1,552",145,7,210,"2,551"
"Jackson County, Minnesota","9,603","9,133",120,31,124,0,195,386
"Kanabec County, Minnesota","15,407","15,088",67,128,84,0,40,625
"Kandiyohi County, Minnesota","40,731","35,004","2,649",218,590,37,"2,233","3,001"
"Kittson County, Minnesota","4,073","4,011",3,15,18,6,20,134
"Koochiching County, Minnesota","11,408","10,975",44,284,39,12,54,654
"Lac qui Parle County, Minnesota","6,494","6,290",36,15,40,0,113,225
"Lake County, Minnesota","10,488","10,326",11,51,55,0,45,417
"Lake of the Woods County, Minnesota","3,576","3,512",13,19,18,0,14,187
"Le Sueur County, Minnesota","27,211","25,991",264,102,134,20,700,"1,463"
"Lincoln County, Minnesota","5,492","5,406",10,21,22,0,33,148
"Lyon County, Minnesota","24,069","20,946",922,133,"1,268",3,797,"1,200"
"McLeod County, Minnesota","34,792","33,216",235,159,238,30,914,"1,979"
"Mahnomen County, Minnesota","4,679","2,303",8,"2,324",7,0,37,732
"Marshall County, Minnesota","8,645","8,473",13,37,19,0,103,395
"Martin County, Minnesota","19,192","18,361",118,76,102,6,529,833
"Meeker County, Minnesota","22,470","21,865",93,48,59,5,400,930
"Mille Lacs County, Minnesota","25,186","23,281",83,"1,499",130,6,187,"1,273"
"Morrison County, Minnesota","32,923","32,245",185,133,110,14,236,"1,087"
"Mower County, Minnesota","37,482","30,804","1,638",189,"2,072",255,"2,524","2,547"
"Murray County, Minnesota","7,924","7,571",26,25,105,3,194,255
"Nicollet County, Minnesota","32,928","29,744","1,707",178,562,15,722,"1,526"
"Nobles County, Minnesota","20,322","13,109",983,459,"1,362",41,"4,368","1,968"
"Norman County, Minnesota","6,067","5,814",20,117,18,0,98,374
"Olmsted County, Minnesota","152,887","126,764","11,113",613,"10,278",83,"4,036","9,960"
"Otter Tail County, Minnesota","57,521","54,910",856,323,334,17,"1,081","2,560"
"Pennington County, Minnesota","13,208","12,434",181,203,123,6,261,784
"Pine County, Minnesota","27,448","25,480",478,998,264,4,224,"1,428"
"Pipestone County, Minnesota","8,995","8,159",107,126,66,0,537,429
"Polk County, Minnesota","29,438","27,229",977,456,157,4,615,"1,754"
"Pope County, Minnesota","10,995","10,802",39,36,50,2,66,313
"Ramsey County, Minnesota","513,151","328,949","71,390","4,480","86,079",252,"22,001","39,201"
"Red Lake County, Minnesota","3,786","3,647",15,60,6,5,53,149
"Redwood County, Minnesota","14,708","13,250",80,846,414,1,117,717
"Renville County, Minnesota","13,925","13,158",69,126,69,7,496,798
"Rice County, Minnesota","62,896","52,637","4,386",456,"1,564",10,"3,843","4,201"
"Rock County, Minnesota","9,288","8,997",51,56,65,10,109,416
"Roseau County, Minnesota","14,626","13,762",87,241,398,10,128,705
"St. Louis County, Minnesota","189,279","177,385","4,189","4,520","1,915",67,"1,203","10,952"
"Scott County, Minnesota","141,595","117,201","8,225","1,650","10,015",72,"4,432","9,333"
"Sherburne County, Minnesota","92,120","85,504","3,666",444,"1,295",22,"1,189","5,063"
"Sibley County, Minnesota","14,077","13,304",84,51,76,11,551,759
"Stearns County, Minnesota","151,604","130,858","13,315",628,"3,188",69,"3,546","6,688"
"Steele County, Minnesota","35,421","32,151","1,373",120,342,22,"1,413","1,985"
"Stevens County, Minnesota","9,176","8,254",84,170,70,1,597,495
"Swift County, Minnesota","9,426","8,807",88,49,78,133,271,412
"Todd County, Minnesota","24,109","22,415",119,99,101,72,"1,303","1,153"
"Traverse County, Minnesota","3,196","2,870",27,217,0,0,82,164
"Wabasha County, Minnesota","20,630","20,091",122,53,97,6,261,757
"Wadena County, Minnesota","13,492","13,128",131,73,65,12,83,573
"Waseca County, Minnesota","18,062","17,040",359,149,111,14,389,906
"Washington County, Minnesota","250,600","211,654","14,041","1,284","18,604",78,"4,939","16,968"
"Watonwan County, Minnesota","10,197","8,209",48,95,96,0,"1,749","1,056"
"Wilkin County, Minnesota","6,204","5,993",42,96,9,2,62,302
"Winona County, Minnesota","47,520","44,638",917,118,933,0,914,"2,151"
"Wright County, Minnesota","134,324","127,090","2,637",446,"1,898",41,"2,212","7,013"
"Yellow Medicine County, Minnesota","9,097","8,524",53,291,28,1,200,431
"Adams County, Mississippi","28,779","10,994","16,785",66,165,8,761,759
"Alcorn County, Mississippi","33,353","27,992","4,337",101,181,19,723,"1,387"
"Amite County, Mississippi","12,444","7,463","4,854",32,31,0,64,276
"Attala County, Mississippi","17,494","9,440","7,678",39,97,4,236,395
